t,1,2,3,4,5,6
3080.0000,481.6980,729.6498,-1163.3744,485.2771,658.3519,-243.8418
3100.0000,477.5802,700.3395,-1190.1425,553.2192,678.2477,-252.2769
3120.0000,487.5115,768.6685,-1196.0507,502.1208,663.5169,-235.3239
3140.0000,471.2159,718.7171,-1167.2458,508.6509,653.0983,-246.1244
3160.0000,459.3856,774.1709,-1187.5966,490.5232,641.5061,-251.7799
3180.0000,456.9603,757.8283,-1196.3148,508.3952,641.5598,-257.2739
3200.0000,457.2505,776.5565,-1208.6329,500.8006,640.6199,-258.0872
3220.0000,455.3501,776.2812,-1191.0251,489.2750,636.0101,-254.1252
3240.0000,467.4362,757.1364,-1152.4867,494.7691,647.0908,-243.9809
3260.0000,469.6588,764.9314,-1141.9897,465.0886,645.9406,-240.6612
3280.0000,462.8930,741.5038,-1149.2559,500.2293,645.0571,-254.9915
3300.0000,448.0352,738.1951,-1144.9857,504.1755,634.4619,-259.4553
3320.0000,461.4986,761.7245,-1129.6787,482.1737,649.1574,-251.0798
3340.0000,441.2789,737.8245,-1147.8137,509.4127,635.5042,-262.8954
3360.0000,447.5473,815.8949,-1198.8955,495.2149,636.0049,-253.9808
3380.0000,437.1485,815.2953,-1158.3000,457.7987,613.4957,-247.9673
3400.0000,463.2642,753.0839,-1177.3826,543.7552,665.0982,-257.2517
3420.0000,455.8452,786.9840,-1137.2350,474.8595,631.4277,-250.9020
3440.0000,450.7898,792.0919,-1168.0223,483.0431,638.8662,-258.4832
3460.0000,437.4555,828.3587,-1178.0494,494.4986,624.9312,-261.6954
3480.0000,431.8322,790.7544,-1154.1608,484.0380,619.2008,-264.3947
3500.0000,444.6014,816.0163,-1158.9768,498.3045,638.1682,-260.9346
3520.0000,453.1573,783.1888,-1132.8121,482.8865,647.2360,-256.6465
3540.0000,425.7180,766.3730,-1148.4125,505.7957,627.9440,-269.4833
3560.0000,439.1245,785.8796,-1126.2974,479.7141,639.6324,-258.0150
3580.0000,451.7317,790.9044,-1157.4388,492.8121,653.7535,-262.7415
3600.0000,457.2097,787.4946,-1139.4500,509.9765,666.5547,-259.0435
3620.0000,460.2274,810.3616,-1165.4120,502.4557,669.0653,-263.7363
3640.0000,453.7083,765.8010,-1134.4940,517.4481,664.9900,-259.5384
3660.0000,446.2157,818.4198,-1167.2686,504.2005,661.5293,-266.4050
3680.0000,425.6616,825.2427,-1169.4813,488.9102,643.5673,-269.4378
3700.0000,420.0712,816.3861,-1157.9626,487.7456,634.8869,-267.8578
3720.0000,425.0294,825.6063,-1152.4158,485.2643,638.9551,-272.1705
3740.0000,421.5641,835.7665,-1175.9546,479.0049,634.2046,-277.1881
3760.0000,429.5489,834.1212,-1183.4109,494.8102,644.5451,-279.4660
3780.0000,431.5311,803.2576,-1137.2885,498.1234,648.4149,-268.6096
3800.0000,452.9244,818.6667,-1155.6252,498.6954,673.3164,-272.1205
3820.0000,459.5689,844.5632,-1153.4821,510.2487,679.3658,-266.3806
3840.0000,445.4380,851.0771,-1149.5588,501.5305,667.7351,-267.8142
3860.0000,467.8562,850.6774,-1167.2032,493.3429,688.8939,-268.6486
3880.0000,476.1330,816.0174,-1126.6296,512.8571,694.4329,-257.5207
3900.0000,463.8761,831.6272,-1131.7747,496.0818,683.1016,-262.7864
3920.0000,479.9518,848.0769,-1140.5444,519.4973,699.3123,-255.1134
3940.0000,476.9242,874.0933,-1145.4098,500.6698,695.4075,-253.3113
3960.0000,459.7196,838.1423,-1153.4695,508.0078,685.3307,-276.9207
3980.0000,460.1561,805.3566,-1090.5815,503.1254,688.3447,-262.9457
4000.0000,415.8929,859.6324,-1136.1958,467.3672,642.2294,-283.1158
4020.0000,458.8801,881.1263,-1145.0216,479.8722,686.9678,-273.0002
4040.0000,461.0705,898.0432,-1147.1807,481.4802,689.3367,-261.4574
4060.0000,445.5409,863.5704,-1126.3108,512.5978,688.4316,-264.8998
4080.0000,424.4849,859.9084,-1109.1406,504.5877,663.1657,-274.8974
4100.0000,433.1825,879.8992,-1130.5538,485.7616,673.7303,-279.6572
4120.0000,446.0973,889.5332,-1141.7573,484.9368,679.3384,-275.0371
4140.0000,437.7883,857.8568,-1100.1924,501.6292,680.3990,-280.4191
4160.0000,438.4756,869.4985,-1084.0085,481.4962,678.7692,-272.1049
4180.0000,440.8950,873.1035,-1112.4025,499.5138,680.8900,-278.0979
4200.0000,434.9794,880.5740,-1132.0027,497.6909,684.6613,-278.2828
4220.0000,427.2466,872.2687,-1131.6724,497.4153,680.9739,-275.9360
4240.0000,439.9352,837.1882,-1082.9358,502.8786,693.6240,-270.9220
4260.0000,422.6863,813.9760,-1060.2809,508.8016,681.4146,-275.0162
4280.0000,422.5762,856.8869,-1077.2068,495.4451,682.6098,-278.7024
4300.0000,403.4562,859.4296,-1096.0197,496.6347,667.8698,-282.9395
4320.0000,406.9539,849.9954,-1086.6742,502.4938,676.0588,-286.0818
4340.0000,419.8404,835.5363,-1063.1688,495.6609,687.3465,-278.2531
4360.0000,398.1304,794.9352,-1065.5828,529.3559,675.3941,-289.8813
4380.0000,428.3113,840.4401,-1071.3766,498.3767,697.2867,-278.7086
4400.0000,441.4167,872.1468,-1091.5665,508.7896,709.8420,-276.2929
4420.0000,422.9893,829.9057,-1057.9152,495.3297,684.6795,-271.7748
4440.0000,413.9569,821.6741,-1070.1829,502.5213,687.0867,-277.1434
4460.0000,404.7706,775.2570,-1051.4907,575.6276,699.5767,-287.6803
4480.0000,422.3389,796.2394,-1027.3556,521.6529,699.0229,-270.8654
4500.0000,391.6983,781.0825,-1045.9714,497.7810,670.8232,-283.5867
4520.0000,409.4999,826.9034,-1079.6382,499.8757,689.4679,-286.3496
4540.0000,409.5833,801.8176,-1040.7803,513.6530,688.6418,-272.8232
4560.0000,395.8848,705.0272,-973.2432,527.5009,677.5469,-284.1297
4580.0000,411.0696,728.1567,-1007.1996,533.8430,696.4690,-286.2562
4600.0000,435.4275,717.8472,-1008.0999,552.9747,720.7270,-276.2046
4620.0000,414.5352,726.5461,-1011.2217,526.3934,689.5565,-285.1796
4640.0000,438.6189,764.1602,-1004.4931,528.1393,706.1710,-267.7171
4660.0000,447.5558,682.7162,-966.5627,539.8524,714.7664,-269.3029
4680.0000,450.3766,658.2274,-981.5682,541.5548,713.5223,-275.1194
4700.0000,442.8139,687.1699,-994.9252,531.8633,699.1776,-279.8500
4720.0000,407.3638,707.7281,-1018.7116,507.3643,660.8866,-287.3472
4740.0000,403.4656,696.3412,-1019.3677,522.8145,662.7169,-293.8969
4760.0000,447.2549,700.4961,-1008.1241,496.5713,682.4707,-277.8510
4780.0000,429.8318,651.4347,-990.2194,502.0531,667.8920,-280.9980
4800.0000,441.3608,674.1467,-1015.0613,531.3947,681.5510,-285.1903
4820.0000,477.5654,681.3801,-1018.8408,514.0035,704.0567,-278.1244
4840.0000,463.1843,589.5375,-996.3418,531.9484,695.9941,-287.8501
4860.0000,481.2205,628.2418,-1021.0196,539.4376,708.0655,-277.2893
4880.0000,473.3901,629.3138,-1014.9673,518.6167,691.2518,-282.7584
4900.0000,479.0836,626.0281,-1017.1483,515.6238,695.0811,-283.3919
4920.0000,483.0559,631.0027,-999.7471,522.1354,693.3894,-277.4087
4940.0000,473.6508,636.5320,-1000.1466,501.5818,677.2361,-278.4688
4960.0000,492.7621,642.2947,-1024.8809,513.6738,696.0182,-273.4885
4980.0000,496.9488,626.5533,-1008.2512,515.0181,696.2555,-265.5511
5000.0000,482.6698,609.6813,-1010.9938,521.6871,680.4254,-272.0768
5020.0000,507.8597,644.3914,-1037.0001,535.3242,703.0034,-270.1880
5040.0000,516.6901,637.6408,-1016.3829,521.8718,708.2026,-263.1078
5060.0000,502.4639,618.0695,-1007.4578,511.2790,689.7573,-265.7310
5080.0000,495.0204,635.2994,-1026.3429,502.4424,683.8250,-271.9556
5100.0000,498.6714,650.5454,-1023.9805,492.7322,675.4633,-269.2234
5120.0000,483.3777,630.7812,-1024.8927,495.9648,666.3386,-275.6819
5140.0000,500.0323,612.5774,-1005.1638,505.1683,680.1183,-276.2940
5160.0000,490.0283,608.1600,-1017.3037,498.2904,670.1088,-281.8030
5180.0000,490.2237,641.1351,-1046.9418,487.2243,665.3730,-280.5324
5200.0000,487.8828,658.2122,-1050.1493,490.2090,659.2308,-281.5300
5220.0000,484.6982,651.5851,-1037.8055,490.3387,666.4852,-267.9376
5240.0000,443.6872,652.3246,-1039.5938,481.6938,648.3148,-278.4106
5260.0000,435.4502,704.5819,-1085.6356,455.8259,642.9885,-283.0422
5280.0000,422.6641,681.2615,-1072.5432,475.7840,648.3621,-277.5115
5300.0000,437.0731,715.3193,-1072.6047,463.9965,656.4464,-273.6214
5320.0000,419.9750,690.1294,-1070.9622,467.8125,648.6206,-275.2599
5340.0000,422.5725,688.7264,-1057.9238,474.9072,655.6162,-275.0758
5360.0000,420.5708,695.2307,-1058.0216,460.9369,649.6234,-271.3258
5380.0000,420.3167,736.6125,-1086.7076,448.2933,650.1243,-277.1418
5400.0000,413.1886,730.2537,-1078.7200,464.6336,637.6212,-280.3575
5420.0000,424.3986,720.1396,-1045.0806,459.2627,651.8096,-264.6502
5440.0000,435.9092,736.5807,-1067.8870,463.6726,662.0058,-264.7426
5460.0000,402.2728,727.9000,-1091.8734,473.3013,625.4429,-284.0239
5480.0000,428.4395,749.1047,-1072.5625,447.8195,636.9378,-264.3155
5500.0000,417.8650,725.5192,-1076.0107,456.2264,631.5052,-276.4093
5520.0000,421.9523,736.6761,-1080.1395,456.2274,629.6469,-277.5389
5540.0000,421.7310,741.9078,-1084.0979,459.7448,629.8756,-276.3588
5560.0000,426.4433,757.4625,-1094.8978,453.5141,626.8983,-280.0628
5580.0000,415.6994,781.0407,-1103.6539,438.7551,611.8177,-283.2097
5600.0000,437.2702,776.9840,-1113.6940,450.6537,633.9897,-283.0345
5620.0000,438.0595,726.5159,-1106.1033,470.4985,646.1165,-293.8137
5640.0000,431.4230,811.6929,-1120.2100,415.9151,619.9925,-281.9354
5660.0000,444.8204,760.4310,-1118.4137,459.0125,637.1007,-284.6643
5680.0000,452.9629,789.8457,-1107.0537,437.1954,637.0364,-272.5938
