t,AF3,F7,F3,F4,F8,AF7
5780.0000,-985.4954,469.1960,421.7626,700.8304,-443.7531,792.1804
5800.0000,-998.6367,458.6967,428.2039,694.1055,-461.0183,778.9274
5820.0000,-1017.4047,453.2579,422.8230,691.8732,-475.6506,773.0627
5840.0000,-1016.6628,480.6441,423.1632,697.0786,-417.9427,810.9149
5860.0000,-1022.3538,488.3140,426.8128,706.9351,-399.4769,815.2039
5880.0000,-1030.7312,479.6634,421.1583,703.0077,-423.1007,811.8693
5900.0000,-1043.3129,484.3247,423.9121,705.9850,-426.3138,810.3890
5920.0000,-1039.8044,470.6061,423.1204,700.9644,-434.1815,809.7598
5940.0000,-1039.3158,471.4064,421.8316,694.0555,-438.2458,810.4764
5960.0000,-1070.8665,444.5496,427.0734,691.8997,-474.4141,777.6316
5980.0000,-1071.2509,435.3964,419.8656,697.1088,-459.1743,785.4191
6000.0000,-1071.8771,430.5087,430.0864,696.8386,-463.5712,774.4998
6020.0000,-1072.2694,443.4247,421.8855,700.1956,-477.0319,780.5780
6040.0000,-1084.9574,438.4521,426.0830,696.7722,-456.6764,780.5617
6060.0000,-1094.2260,435.4940,421.9120,704.2576,-445.9966,779.6320
6080.0000,-1132.9969,437.3601,426.0553,699.7010,-465.7902,770.4806
6100.0000,-1150.1700,427.5663,421.9400,703.3154,-454.8597,774.5994
6120.0000,-1167.0211,439.3570,428.0140,707.6247,-425.7983,781.4368
6140.0000,-1216.1725,429.6030,428.9884,697.3753,-462.6256,761.8073
6160.0000,-1262.0819,405.3066,423.8916,699.5613,-475.8932,761.3522
6180.0000,-1297.1685,408.6992,428.0809,695.4603,-471.5105,767.7912
6200.0000,-1291.1803,444.2295,426.9055,700.4995,-457.1514,781.2959
6220.0000,-1323.1572,458.7338,427.0563,698.5210,-492.4453,759.8993
6240.0000,-1342.1823,446.1365,424.8867,698.4175,-494.3035,763.2520
6260.0000,-1338.1846,446.7972,421.1222,696.5771,-472.3828,776.9320
6280.0000,-1335.2023,464.0935,423.8054,694.3485,-465.2546,782.1650
6300.0000,-1372.1422,449.8737,426.1767,696.6448,-487.1858,770.0611
6320.0000,-1372.2935,470.0208,427.8731,706.2758,-492.5435,780.0389
6340.0000,-1389.0879,466.9593,426.2006,696.7090,-509.2281,779.1299
6360.0000,-1384.3362,469.9434,423.7569,698.2168,-483.4253,786.9102
