t,1,2,3,4,5,6
4960.0000,224.5690,-493.2553,-374.5097,253.1675,98.1083,474.6615
4980.0000,241.5294,-493.6541,-371.0179,226.5918,92.7453,483.1156
5000.0000,239.9441,-509.8499,-368.6317,239.2772,96.6482,478.5411
5020.0000,240.8397,-518.0353,-367.4388,230.2496,94.9501,479.0200
5040.0000,229.7908,-539.3151,-369.4525,253.1920,97.2439,479.7054
5060.0000,231.0867,-543.9302,-369.5559,246.9484,93.2838,481.2559
5080.0000,225.9884,-553.2733,-368.6353,240.0245,96.1089,477.3788
5100.0000,234.5986,-555.8025,-366.5810,225.0061,93.7579,481.0595
5120.0000,223.4501,-572.7944,-370.9921,216.6184,92.6293,479.7034
5140.0000,223.8347,-584.7127,-364.6048,231.8798,95.4234,480.5047
5160.0000,214.7197,-601.8633,-365.8891,249.3059,101.3106,479.5941
5180.0000,218.6324,-608.0503,-370.8559,227.2746,93.9668,481.2189
5200.0000,223.4964,-614.6170,-363.9236,228.7252,94.3162,481.3009
5220.0000,229.6357,-615.1381,-363.7515,225.0267,94.6530,480.8973
5240.0000,233.2205,-625.6141,-362.3132,203.9029,91.3923,485.3658
5260.0000,218.8081,-640.9124,-371.4852,226.1231,93.8500,478.3768
5280.0000,224.5967,-636.4655,-370.0158,215.9341,95.7276,479.0446
5300.0000,229.4665,-639.2542,-369.7751,201.1771,92.2204,483.5473
5320.0000,240.8078,-638.6710,-364.8769,196.5618,92.4378,485.8741
5340.0000,232.8567,-646.1868,-369.4482,187.1611,93.1080,483.9883
5360.0000,226.3037,-654.9056,-365.0679,190.7965,94.3092,484.1792
5380.0000,219.2502,-667.1949,-369.9279,213.3824,90.3252,486.1988
5400.0000,218.3181,-667.0413,-372.5204,206.3398,94.4759,484.5003
5420.0000,213.3852,-676.5086,-363.4298,220.3674,97.3558,482.4395
5440.0000,218.6620,-674.7969,-368.2944,215.5117,92.9478,484.2961
5460.0000,213.9579,-682.7621,-366.4859,211.9443,99.3877,483.3005
5480.0000,195.1350,-701.5261,-371.5535,240.4099,96.0337,482.1096
5500.0000,197.4883,-696.1464,-371.6428,223.4646,93.4317,481.5552
5520.0000,200.9108,-702.4391,-372.3976,223.3551,96.0117,486.8614
5540.0000,198.1243,-702.2698,-373.6571,220.7237,99.0003,481.4061
5560.0000,195.8048,-710.4487,-372.2360,222.5629,95.8209,480.6352
5580.0000,192.3908,-716.7183,-371.7280,227.2517,98.8994,480.5125
5600.0000,195.2958,-706.7239,-375.8464,184.8431,95.9177,475.4062
5620.0000,203.6175,-705.8899,-371.8851,174.6783,94.7238,484.7791
5640.0000,200.7107,-708.8026,-376.9809,206.4608,90.9295,479.7638
5660.0000,197.5760,-713.5197,-367.1272,224.3340,99.4761,480.3309
5680.0000,195.2369,-716.2692,-368.7324,229.8598,93.8566,486.6754
5700.0000,192.1271,-724.5634,-362.5356,244.5365,95.4618,482.2680
5720.0000,193.4743,-726.4593,-362.8630,219.0272,91.2104,483.5693
5740.0000,194.5668,-734.5185,-363.6694,217.5548,98.4089,486.8773
5760.0000,198.3110,-734.0901,-359.1338,217.4965,97.2089,484.0146
5780.0000,193.8857,-741.0217,-363.2211,203.7503,92.7296,486.8224
5800.0000,189.7514,-743.5736,-365.1475,201.6818,97.7331,483.8545
5820.0000,187.8161,-747.3007,-368.8029,195.9812,94.9365,482.1893
5840.0000,192.1427,-763.0662,-354.1006,221.8064,95.4391,482.7192
5860.0000,193.6828,-770.1371,-349.8274,224.6779,95.5152,489.1124
5880.0000,194.2929,-767.3079,-356.4077,215.9923,92.7248,486.7057
5900.0000,190.7551,-776.0817,-358.8899,220.5559,93.8791,488.5284
5920.0000,196.6581,-766.8797,-357.4235,209.5193,93.9405,486.4168
5940.0000,193.5249,-767.6148,-358.3921,214.9395,95.0188,481.3438
5960.0000,190.8110,-767.7311,-363.1961,192.5245,97.3007,483.1278
5980.0000,203.0046,-759.8616,-355.4394,175.9353,91.2732,486.8983
6000.0000,200.5034,-760.4996,-354.9910,176.0237,97.0722,488.3387
6020.0000,196.1140,-764.8832,-365.5148,182.4285,92.0182,488.5500
6040.0000,197.7802,-769.8626,-354.2836,183.3054,95.2750,486.8757
6060.0000,202.4546,-770.1678,-350.0449,173.2401,90.8106,491.8738
6080.0000,191.3982,-790.3771,-356.1953,182.6802,94.7130,488.6909
6100.0000,200.1398,-790.8432,-348.8749,169.1338,90.9770,491.6172
